# Herramienta|plataforma|soporte|required_path|detalle
# soporte: native, compatible, adapter_required, incompatible, unknown
superpowers|claude|native|superpowers/skills/using-superpowers/SKILL.md|Plugin y hooks propios de Claude Code
superpowers|codex|native|superpowers/skills/using-superpowers/SKILL.md|Upstream incluye soporte y empaquetado para Codex
prompt-master|claude|native|prompt-master/SKILL.md|Skill publicada para Claude
prompt-master|codex|compatible|adapters/codex/prompt-master/SKILL.md|Adaptador propio para Codex que conserva la skill upstream como referencia
abogado-del-diablo|claude|native|abogado-del-diablo/skills/abogado-del-diablo/SKILL.md|Skill publicada para Claude
abogado-del-diablo|codex|compatible|adapters/codex/abogado-del-diablo/SKILL.md|Adaptador propio para Codex con capacidades y subagentes traducidos
commit-style|claude|compatible|skills/commit-style/SKILL.md|Formato SKILL.md compatible
commit-style|codex|compatible|skills/commit-style/SKILL.md|Formato Agent Skills compatible
graphify|claude|native|skills/graphify/SKILL.md|Wrapper propio compatible que invoca el CLI Graphify fijado
graphify|codex|native|skills/graphify/SKILL.md|Wrapper propio compatible que invoca el CLI Graphify fijado
cyber-neo|claude|native|skills/cyber-neo/SKILL.md|Wrapper propio que conserva el upstream y redirige solo el reporte
context7|claude|native|context7/packages/mcp/package.json|MCP compatible con Claude Code
context7|codex|native|context7/packages/mcp/package.json|MCP compatible con Codex
the-architect|claude|native|the-architect/CLAUDE.md|Proyecto basado en CLAUDE.md
the-architect|codex|compatible|adapters/codex/the-architect/AGENTS.md|Workspace Codex propio que reutiliza preguntas y plantillas upstream
claude-mem|claude|native|-|Plugin con hooks de Claude Code
claude-mem|codex|native|-|Hooks nativos instalados automaticamente para Codex
claude-token-efficient|claude|compatible|claude-token-efficient/CLAUDE.md|Reglas para CLAUDE.md global
claude-token-efficient|codex|compatible|claude-token-efficient/CLAUDE.md|Reglas upstream insertadas en un bloque administrado de $CODEX_HOME/AGENTS.md
agent-skills|claude|compatible|agent-skills/skills/react-best-practices/SKILL.md|Vercel Agent Skills upstream enlazadas con su nombre publicado (formato SKILL.md)
agent-skills|codex|compatible|agent-skills/skills/react-best-practices/SKILL.md|Vercel Agent Skills upstream enlazadas con su nombre publicado (formato SKILL.md)
ui-ux-pro-max-skill|claude|compatible|ui-ux-pro-max-skill/.claude/skills/ui-ux-pro-max/SKILL.md|Familia de 7 skills estaticas (SKILL.md + referencias/datos locales), sin instalador propio
ui-ux-pro-max-skill|codex|compatible|ui-ux-pro-max-skill/.claude/skills/ui-ux-pro-max/SKILL.md|Mismo formato SKILL.md sin herramientas exclusivas de Claude
impeccable|claude|compatible|impeccable/.claude/skills/impeccable/SKILL.md|Wrapper propio: solo el skill global; hooks y CLI de deteccion por proyecto quedan fuera del alcance
agente-pagokit|claude|native|agente-pagokit/.claude-plugin/plugin.json|Plugin de Claude Code (hooks + comandos + subagente propios); se clona como referencia pinned y se activa por sesion con --plugin-dir, sin registro global ni symlink en ~/.claude/skills/
